Name,construct,parent,OD,GFP,RFP,GFP/OD,RFP/OD
pass,S12F,P12,1.0456,3332,19440,3186.68707,18592.19587
pass,S12F,P12,1.0935,3452,21149,3156.835848,19340.64929
pass,4D,P12,1.081,4938,51268,4567.992599,47426.45698
pass,4D,P12,1.0857,4612,47506,4247.950631,43756.10205
pass,4D,P12,1.0072,5068,43207,5031.771247,42898.13344
pass,S9E,P12,1.1828,4219,746,3566.959757,630.7067974
pass,S9E,P12,1.2722,4742,821,3727.401352,645.3387832
pass,S9E,P12,1.1978,4133,960,3450.49257,801.4693605
pass,S9D,P12,1.2898,4451,794,3450.922624,615.5993177
pass,S9D,P12,1.1395,3693,542,3240.895129,475.6472137
pass,S9D,P12,1.1362,3795,644,3340.080972,566.8016194
pass,P13,P13,1.1779,3243,3631,2753.204856,3082.604635
pass,P13,P13,1.2008,3425,4462,2852.265157,3715.856096
pass,P13,P13,1.1559,3288,4592,2844.536725,3972.661995
pass,S10B,P13,1.1523,3114,318,2702.421244,275.9697995
pass,S10B,P13,1.2348,3377,351,2734.855847,284.2565598
pass,S10B,P13,1.2405,3087,404,2488.512696,325.675131
pass,S10C,P13,1.2732,2963,808,2327.207037,634.6214263
pass,S10C,P13,1.2378,3224,833,2604.621102,672.9681693
pass,S10C,P13,1.3456,3590,1032,2667.954816,766.9441141
pass,S10D,P13,1.3336,3167,1069,2374.775045,801.5896821
pass,S10D,P13,1.4076,3307,1223,2349.389031,868.8547883
pass,S10D,P13,1.1898,3434,758,2886.199361,637.0818625
pass,S9G10,P13,1.1494,3432,341,2985.90569,296.6765269
pass,S9G10,P13,1.0829,3016,475,2785.114046,438.6369933
pass,S9G10,P13,0.5745,3047,130,5303.742385,226.283725
pass,S9G35,P13,1.1567,3258,401,2816.633526,346.6758883
pass,S9G35,P13,1.2141,3094,494,2548.389754,406.885759
pass,S9G35,P13,1.2981,3544,530,2730.144057,408.2890378
pass,P16,P16,1.3325,3952,3304,2965.853659,2479.549719
pass,P16,P16,1.1617,3988,3219,3432.90006,2770.939141
pass,P16,P16,1.3065,4067,3875,3112.897053,2965.939533
pass,3F,P16,1.4327,3857,53204,2692.119774,37135.47847
pass,3F,P16,1.3779,3824,43089,2775.237681,31271.50011
pass,3F,P16,1.3897,4133,43823,2974.02317,31534.14406
pass,P19,P19,0.9976,5305,1966,5317.76263,1970.729751
pass,P19,P19,0.9339,5371,1888,5751.151087,2021.629725
